Acceleration | 0.057   | 0.049    | 1.0 W     | 9.5 J     | ✅ OK
Recovery     | 0.239   | 0.203    | 4.3 W     | 451.0 J     | ✅ OK
Recovery     | 0.252   | 0.214    | 4.5 W     | 451.4 J     | ✅ OK
Recovery     | 0.266   | 0.226    | 4.8 W     | 451.9 J     | ✅ OK
Recovery     | 0.283   | 0.241    | 5.1 W     | 452.4 J     | ✅ OK
Recovery     | 0.301   | 0.256    | 5.4 W     | 453.0 J     | ✅ OK
Recovery     | 0.320   | 0.272    | 5.8 W     | 453.5 J     | ✅ OK
Recovery     | 0.341   | 0.289    | 6.1 W     | 454.2 J     | 🛡️ CLIPPED
Recovery     | 0.361   | 0.307    | 6.5 W     | 454.8 J     | 🛡️ CLIPPED
Recovery     | 0.382   | 0.325    | 6.9 W     | 455.5 J     | 🛡️ CLIPPED
Recovery     | 0.403   | 0.343    | 7.3 W     | 456.2 J     | 🛡️ CLIPPED
Recovery     | 0.424   | 0.360    | 7.6 W     | 457.0 J     | 🛡️ CLIPPED
Recovery     | 0.428   | 0.364    | 7.7 W     | 457.8 J     | 🛡️ CLIPPED
Recovery     | 0.393   | 0.334    | 7.1 W     | 458.5 J     | 🛡️ CLIPPED
Recovery     | 0.357   | 0.304    | 6.4 W     | 459.1 J     | 🛡️ CLIPPED
Recovery     | 0.322   | 0.273    | 5.8 W     | 459.7 J     | ✅ OK
Recovery     | 0.287   | 0.244    | 5.2 W     | 460.2 J     | ✅ OK
Recovery     | 0.253   | 0.215    | 4.6 W     | 460.7 J     | ✅ OK
Recovery     | 0.221   | 0.188    | 4.0 W     | 461.1 J     | ✅ OK
Recovery     | 0.192   | 0.163    | 3.4 W     | 461.4 J     | ✅ OK
Recovery     | 0.164   | 0.140    | 3.0 W     | 461.7 J     | ✅ OK
Recovery     | 0.140   | 0.119    | 2.5 W     | 461.9 J     | ✅ OK
Recovery     | 0.119   | 0.102    | 2.1 W     | 462.2 J     | ✅ OK
Recovery     | 0.102   | 0.087    | 1.8 W     | 462.3 J     | ✅ OK
Recovery     | 0.089   | 0.075    | 1.6 W     | 462.5 J     | ✅ OK
Recovery     | 0.079   | 0.067    | 1.4 W     | 462.7 J     | ✅ OK
Recovery     | 0.074   | 0.063    | 1.3 W     | 462.8 J     | ✅ OK
Recovery     | 0.073   | 0.062    | 1.3 W     | 462.9 J     | ✅ OK
Recovery     | 0.076   | 0.065    | 1.4 W     | 463.1 J     | ✅ OK
Recovery     | 0.083   | 0.071    | 1.5 W     | 463.2 J     | ✅ OK
Recovery     | 0.094   | 0.080    | 1.7 W     | 463.4 J     | ✅ OK
Recovery     | 0.109   | 0.093    | 2.0 W     | 463.6 J     | ✅ OK
Recovery     | 0.128   | 0.109    | 2.3 W     | 463.8 J     | ✅ OK
Recovery     | 0.149   | 0.127    | 2.7 W     | 464.1 J     | ✅ OK
Recovery     | 0.174   | 0.148    | 3.1 W     | 464.4 J     | ✅ OK
Recovery     | 0.201   | 0.171    | 3.6 W     | 464.7 J     | ✅ OK
Calm Water   | 0.201   | 0.171    | 3.6 W     | 465.1 J     | ✅ OK
Calm Water   | 0.200   | 0.170    | 3.6 W     | 465.5 J     | ✅ OK
Calm Water   | 0.201   | 0.171    | 3.6 W     | 465.8 J     | ✅ OK
Calm Water   | 0.203   | 0.173    | 3.7 W     | 466.2 J     | ✅ OK
Calm Water   | 0.207   | 0.176    | 3.7 W     | 466.6 J     | ✅ OK
Calm Water   | 0.212   | 0.180    | 3.8 W     | 466.9 J     | ✅ OK
Calm Water   | 0.218   | 0.185    | 3.9 W     | 467.3 J     | ✅ OK
Calm Water   | 0.226   | 0.192    | 4.1 W     | 467.7 J     | ✅ OK
Calm Water   | 0.235   | 0.200    | 4.2 W     | 468.2 J     | ✅ OK
Calm Water   | 0.245   | 0.209    | 4.4 W     | 468.6 J     | ✅ OK
Calm Water   | 0.257   | 0.218    | 4.6 W     | 469.1 J     | ✅ OK
Calm Water   | 0.269   | 0.229    | 4.8 W     | 469.6 J     | ✅ OK
Calm Water   | 0.283   | 0.240    | 5.1 W     | 470.1 J     | ✅ OK
Calm Water   | 0.297   | 0.253    | 5.3 W     | 470.6 J     | ✅ OK
Calm Water   | 0.312   | 0.265    | 5.6 W     | 471.2 J     | ✅ OK
Calm Water   | 0.327   | 0.278    | 5.9 W     | 471.8 J     | ✅ OK
Calm Water   | 0.343   | 0.292    | 6.2 W     | 472.4 J     | 🛡️ CLIPPED
Calm Water   | 0.359   | 0.305    | 6.5 W     | 473.0 J     | 🛡️ CLIPPED
Calm Water   | 0.375   | 0.319    | 6.8 W     | 473.7 J     | 🛡️ CLIPPED
Calm Water   | 0.391   | 0.333    | 7.0 W     | 474.4 J     | 🛡️ CLIPPED
Calm Water   | 0.399   | 0.339    | 7.2 W     | 475.1 J     | 🛡️ CLIPPED
Calm Water   | 0.388   | 0.329    | 7.0 W     | 475.8 J     | 🛡️ CLIPPED
Calm Water   | 0.376   | 0.319    | 6.8 W     | 476.5 J     | 🛡️ CLIPPED
Calm Water   | 0.364   | 0.309    | 6.6 W     | 477.1 J     | 🛡️ CLIPPED
Calm Water   | 0.352   | 0.300    | 6.3 W     | 477.8 J     | 🛡️ CLIPPED
Calm Water   | 0.341   | 0.290    | 6.1 W     | 478.4 J     | 🛡️ CLIPPED
Calm Water   | 0.330   | 0.280    | 5.9 W     | 479.0 J     | ✅ OK
Calm Water   | 0.319   | 0.271    | 5.7 W     | 479.6 J     | ✅ OK
Calm Water   | 0.309   | 0.262    | 5.6 W     | 480.1 J     | ✅ OK
Calm Water   | 0.299   | 0.254    | 5.4 W     | 480.7 J     | ✅ OK
Calm Water   | 0.290   | 0.247    | 5.2 W     | 481.2 J     | ✅ OK
Calm Water   | 0.282   | 0.240    | 5.1 W     | 481.7 J     | ✅ OK
Calm Water   | 0.275   | 0.234    | 5.0 W     | 482.2 J     | ✅ OK
Calm Water   | 0.269   | 0.229    | 4.8 W     | 482.7 J     | ✅ OK
Calm Water   | 0.264   | 0.224    | 4.7 W     | 483.1 J     | ✅ OK
Calm Water   | 0.260   | 0.221    | 4.7 W     | 483.6 J     | ✅ OK
Calm Water   | 0.257   | 0.218    | 4.6 W     | 484.1 J     | ✅ OK
Calm Water   | 0.255   | 0.216    | 4.6 W     | 484.5 J     | ✅ OK
Calm Water   | 0.254   | 0.216    | 4.6 W     | 485.0 J     | ✅ OK
Calm Water   | 0.254   | 0.216    | 4.6 W     | 485.4 J     | ✅ OK
Acceleration | 0.011   | 0.009    | 0.2 W     | 485.5 J     | ✅ OK
Acceleration | 0.019   | 0.016    | 0.3 W     | 485.5 J     | ✅ OK
Acceleration | 0.040   | 0.034    | 0.7 W     | 485.6 J     | ✅ OK
Acceleration | 0.074   | 0.063    | 1.3 W     | 485.7 J     | ✅ OK
Acceleration | 0.119   | 0.101    | 2.1 W     | 485.9 J     | ✅ OK
Acceleration | 0.173   | 0.147    | 3.1 W     | 486.2 J     | ✅ OK
Acceleration | 0.235   | 0.200    | 4.2 W     | 486.7 J     | ✅ OK
Acceleration | 0.302   | 0.257    | 5.4 W     | 487.2 J     | ✅ OK
Acceleration | 0.371   | 0.315    | 6.7 W     | 487.9 J     | 🛡️ CLIPPED
Acceleration | 0.439   | 0.373    | 7.9 W     | 488.7 J     | 🛡️ CLIPPED
Acceleration | 0.504   | 0.429    | 9.1 W     | 489.6 J     | 🛡️ CLIPPED
Acceleration | 0.563   | 0.479    | 10.1 W     | 490.6 J     | 🛡️ CLIPPED
Acceleration | 0.519   | 0.441    | 9.3 W     | 491.5 J     | 🛡️ CLIPPED
Acceleration | 0.455   | 0.387    | 8.2 W     | 492.3 J     | 🛡️ CLIPPED
Acceleration | 0.387   | 0.329    | 7.0 W     | 493.0 J     | 🛡️ CLIPPED
Acceleration | 0.318   | 0.270    | 5.7 W     | 493.6 J     | ✅ OK
Acceleration | 0.251   | 0.213    | 4.5 W     | 494.0 J     | ✅ OK
Acceleration | 0.187   | 0.159    | 3.4 W     | 494.4 J     | ✅ OK
Acceleration | 0.131   | 0.111    | 2.4 W     | 494.6 J     | ✅ OK
Acceleration | 0.083   | 0.071    | 1.5 W     | 494.8 J     | ✅ OK
Acceleration | 0.047   | 0.040    | 0.8 W     | 494.9 J     | ✅ OK
Acceleration | 0.023   | 0.019    | 0.4 W     | 494.9 J     | ✅ OK
Acceleration | 0.012   | 0.010    | 0.2 W     | 494.9 J     | ✅ OK
Acceleration | 0.014   | 0.012    | 0.3 W     | 494.9 J     | ✅ OK
Acceleration | 0.031   | 0.026    | 0.6 W     | 495.0 J     | ✅ OK
Acceleration | 0.060   | 0.051    | 1.1 W     | 495.1 J     | ✅ OK
Acceleration | 0.101   | 0.086    | 1.8 W     | 495.3 J     | ✅ OK
Acceleration | 0.134   | 0.114    | 2.4 W     | 495.5 J     | ✅ OK
Acceleration | 0.086   | 0.073    | 1.5 W     | 495.7 J     | ✅ OK
Acceleration | 0.048   | 0.041    | 0.9 W     | 495.8 J     | ✅ OK
Acceleration | 0.024   | 0.020    | 0.4 W     | 495.8 J     | ✅ OK
Acceleration | 0.012   | 0.010    | 0.2 W     | 495.8 J     | ✅ OK
Acceleration | 0.014   | 0.012    | 0.2 W     | 495.9 J     | ✅ OK
Acceleration | 0.030   | 0.025    | 0.5 W     | 495.9 J     | ✅ OK
Acceleration | 0.058   | 0.050    | 1.0 W     | 496.0 J     | ✅ OK
Acceleration | 0.099   | 0.084    | 1.8 W     | 496.2 J     | ✅ OK
Acceleration | 0.150   | 0.127    | 2.7 W     | 496.5 J     | ✅ OK
Acceleration | 0.209   | 0.178    | 3.8 W     | 496.8 J     | ✅ OK
Acceleration | 0.274   | 0.233    | 4.9 W     | 497.3 J     | ✅ OK
Acceleration | 0.342   | 0.291    | 6.2 W     | 498.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.537   | -1.275    | 31.5 W     | 501.1 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.390   | -1.181    | 25.0 W     | 503.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.770   | -0.654    | 13.9 W     | 505.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.087   | 0.074    | 1.6 W     | 505.1 J     | ✅ OK
Storm/Chaos  | 0.875   | 0.743    | 15.7 W     | 506.7 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.975   | 0.829    | 17.6 W     | 508.5 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.551   | 0.468    | 9.9 W     | 509.5 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.007   | 0.006    | 0.1 W     | 509.5 J     | ✅ OK
Storm/Chaos  | -0.468   | -0.398    | 8.4 W     | 510.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.693   | -0.589    | 12.5 W     | 511.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.576   | -0.490    | 10.4 W     | 512.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.163   | -0.138    | 2.9 W     | 512.9 J     | ✅ OK
Storm/Chaos  | 0.379   | 0.322    | 6.8 W     | 513.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.819   | 0.696    | 14.7 W     | 515.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.966   | 0.821    | 17.4 W     | 516.8 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.749   | 0.637    | 13.5 W     | 518.1 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.256   | 0.218    | 4.6 W     | 518.6 J     | ✅ OK
Storm/Chaos  | -0.296   | -0.252    | 5.3 W     | 519.1 J     | ✅ OK
Storm/Chaos  | -0.646   | -0.549    | 11.6 W     | 520.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.598   | -0.509    | 10.8 W     | 521.4 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.456   | -0.388    | 8.2 W     | 522.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.390   | -0.332    | 7.0 W     | 522.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.195   | -0.166    | 3.5 W     | 523.2 J     | ✅ OK
Storm/Chaos  | -0.013   | -0.011    | 0.2 W     | 523.3 J     | ✅ OK
Storm/Chaos  | 0.051   | 0.044    | 0.9 W     | 523.4 J     | ✅ OK
Storm/Chaos  | -0.013   | -0.011    | 0.2 W     | 523.4 J     | ✅ OK
Storm/Chaos  | -0.117   | -0.100    | 2.1 W     | 523.6 J     | ✅ OK
Storm/Chaos  | -0.118   | -0.100    | 2.1 W     | 523.8 J     | ✅ OK
Storm/Chaos  | -0.923   | -0.785    | 16.6 W     | 525.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.371   | -1.165    | 24.7 W     | 527.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.333   | -1.133    | 24.0 W     | 530.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.896   | -0.761    | 16.1 W     | 531.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.261   | -0.222    | 4.7 W     | 532.4 J     | ✅ OK
Storm/Chaos  | 0.335   | 0.285    | 6.0 W     | 533.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.723   | 0.614    | 13.0 W     | 534.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.405   | 0.344    | 7.3 W     | 535.1 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.584   | -0.497    | 10.5 W     | 536.1 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.311   | -1.115    | 23.6 W     | 538.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.551   | -1.275    | 33.1 W     | 541.8 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.245   | -1.058    | 22.4 W     | 544.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.523   | -0.445    | 9.4 W     | 545.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.345   | 0.293    | 6.2 W     | 545.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 1.056   | 0.898    | 19.0 W     | 547.5 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.869   | 0.739    | 15.6 W     | 549.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.392   | 0.333    | 7.0 W     | 549.7 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.152   | -0.130    | 2.7 W     | 550.0 J     | ✅ OK
Storm/Chaos  | -0.568   | -0.483    | 10.2 W     | 551.0 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.694   | -0.590    | 12.5 W     | 552.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.477   | -0.406    | 8.6 W     | 553.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.003   | -0.003    | 0.1 W     | 553.2 J     | ✅ OK
Storm/Chaos  | 0.532   | 0.452    | 9.6 W     | 554.1 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.900   | 0.765    | 16.2 W     | 555.7 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.938   | 0.797    | 16.9 W     | 557.4 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.622   | 0.528    | 11.2 W     | 558.5 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.084   | 0.071    | 1.5 W     | 558.7 J     | ✅ OK
Storm/Chaos  | -0.434   | -0.369    | 7.8 W     | 559.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.679   | -0.577    | 12.2 W     | 560.7 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.494   | -0.420    | 8.9 W     | 561.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.458   | -0.389    | 8.2 W     | 562.4 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.339   | -0.288    | 6.1 W     | 563.0 J     | 🛡️ CLIPPED
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 581.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 599.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 617.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 635.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 653.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 671.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 689.0 J     | 🚨 FAIL-SAFE
